_id,_name,_region,_time,_text,_followers,_reposts,_comments,_likes
7326678120,呆帝进行时-,山东,02/09/2024,斯密吗喽，差点看成谈了两年了，给我吓一跳,1943,1,5,103
3083675764,体坛星闻社,北京,01/09/2024,合照来啦！乒乓球混双冠军：孙颖莎/王楚钦羽毛球混双冠军：郑思维/黄雅琼,130万,62,35,3170
6995478709,带我穿越次元壁,山西,02/09/2024,补药两清啊，甲鱼哥下次带我们头头游泳 ，啊啊啊，我的钦余年be了（bushi,1.2万,0,1,51
6344473358,吴同的体育写作本,比利时,01/09/2024,实际上，相比于孙颖莎，这次 ，其他国乒所有冠军成员，包括马龙，樊振东，陈梦，王曼昱，王楚钦，都非常低调，表现得随大流，跟从集体，没有那么多热搜发言。但奇怪的是，热搜发言最多的孙颖莎，成了最讲集体主义的人。奇怪的前提是没看过《新来的小石柱》,5.8万,3,189,818
3202217467,谢谢你的笑声,广东,02/09/2024,永远留下美好的回忆，散发着洋溢的青春，奋斗的青春，幸福也就如此！王楚钦孙颖莎 国乒,37.4万,4,6,74
2583001030,华俊竹de微博,广东,02/09/2024,00后绝对是非常自信的一代人！从参加完巴黎奥运会访港期间的表现就能看出，很多00后运动员非常松弛自然，不管什么场合没有任何拘束，落落大方，不装不作。他们该吃吃，该喝喝，该玩玩，该睡就睡。他们这一代极有可能就是超越美国的一代人。,59.1万,2,3,88
5255371131,燃总拿捏水位,中国香港,02/09/2024,：跨坐文物引发网友不满9月1日，王楚钦在澳门游览古炮台时因跨坐在文物上拍照引发争议。照片中，他双脚踩在炮台轮轴上，留下了“到此一游”的打卡照。不少网友认为这一行为非常不妥，与不文明游客的行为相似，尤其是在面对承载历史价值的文物时，显得格外不尊重。此外，王楚钦的粉丝为其辩解的言论也引发更多批评。有网友担心他的行为会引发不良示范，希望王楚钦作为公众人物能意识到自己的责任，向社会传递正能量。网友还指出，他在活动中与女队员的肢体互动也引发了一些不必要的争议。希望王楚钦能够认识到自己的行为问题，并及时道歉，引导粉丝理性对待。作为国家代表，竞技成绩固然重要，但文化修养与行为规范同样不可忽视。,98.9万,36,167,1111
7439517909,吟墨香-,江西,02/09/2024,这三位简直是古希腊掌管挨骂的神孙颖莎不爱化妆被骂吴艳妮化妆被骂王楚钦打扮不打扮都被骂简直是挨骂圣体,10.7万,0,12,62
6616719538,桑苧ning,贵州,02/09/2024,国乒这套黑色队服真的是天花板，马龙 王楚钦 王皓 林高远 樊振东五人组压迫感好强，黑色是统治区,35.9万,0,1,60
1256363904,顶流颜究社,广东,02/09/2024,王楚钦发文后许昕给他评论了，网友非常时宜的给把他P上去了,503.8万,29,39,255
2286908003,人民网,Unknown,31/08/2024,【国乒整活！】越看越不对劲，为什么 和 离镜头近，球拍倒显得更小了？原来他们在用迷你球拍与香港队球员切磋,8544.1万,42,43,919
3807127305,还没想好明年再说吧,安徽,02/09/2024,王楚钦 你这几天可爱的有点过分辣！！！,1791,0,5,104
3835686439,吕月哎哟,江苏,02/09/2024,问王楚钦 他知道 哈哈哈,353,3,13,233
5531760844,瞬息宇圈的少年,上海,02/09/2024,游泳队唱歌给哥几个乐完了～数数大头笑出来几颗牙～原来游泳队唱歌 盛李豪打羽毛球 都是要命的！,18.7万,6,5,70
1514696174,温柔的夜11,江西,02/09/2024,记者们不要再消费这些运动员了，别人又不是学新闻专业的。,2.2万,0,23,116
6227091654,南方不热V,安徽,02/09/2024,女方本人已澄清 女方朋友 体能教练 队医都澄清了还一直扒拉着女同事 问过女同事的意愿吗？磕cp的 尊重过孙颖莎吗？🤮,181,3,38,772
1623340585,河北日报,Unknown,01/09/2024,【】9月1日，内地奥运健儿代表团与澳门青少年运动员交流对话， 上台与澳门青少年运动员切磋球技，“莎头组合”再次亮相！,394.3万,2,1,85
7598265389,头牌五花肉,重庆,31/08/2024,📷大家都喜欢找头头合照🥰,21.4万,303,251,6005
6130200580,嗯啊啊一一,上海,02/09/2024,因为当着王楚钦老婆的面回答这么尴尬的问题啊，都怪王楚钦和陈梦这两口子天天呆在下水道里不愿意出来。,2万,23,110,1466
7530157662,洋洋得意的小明,河北,02/09/2024,400人讨论度，是如何上热22的？孙颖莎没惹任何人，放过她行吗？孙颖莎多次澄清，和男方只是搭档，只是搭档，请不要再消费女运动员了！一定要提这对搭档吗？那看看解说是如何提到这对混双搭档的决赛旅程吧。,2万,48,58,1108
3584398332,红枣泡枸杞我是小仙女,天津,02/09/2024,不要再拉低女运动员格局，孙颖莎只是尴尬大家看不出来吗？cpf能不能放过孙颖莎,13.8万,2,3,464
7443904883,四个字俩点,广东,02/09/2024,你说谁慌张？？,3.3万,7,8,593
7034939772,资深观众王小鸭,浙江,01/09/2024,奥运健儿港澳行的乐子含金量还在上升啊啊啊啊啊啊好看爱看请继续……！！《樊振东贴脸开大盛李豪用羽毛球拍应援》《们泳队倾情献唱孤勇者六人六调》《人鱼上岸嗓子换腿》《国乒队场下reaction也很精彩》《龙道一全垫音拉完了整首rap》《雅琼姐说结婚要请盛李豪去打羽毛球》/,427.2万,412,113,3889
